CONSOLIDATED	VERSIÓN	en-es
VERSION OF	CONSOLIDADA	en-es
THE	DEL	en-es
TREATY	TRATADO	en-es
ON	DE	en-es
EUROPEAN	LA UNIÓN	en-es
UNION	EUROPEA	en-es
9.5.2008 EN	9.5.2008 ES	en-es
Official	Diario	en-es
Journal	Oficial	en-es
of	de	en-es
the	la	en-es
European	Unión	en-es
Union	Europea	en-es
C 115/15	C 115/15	en-es
PREAMBLE	PREÁMBULO	en-es
HIS	SU	en-es
MAJESTY	MAJESTAD	en-es
THE	EL	en-es
KING	REY	en-es
OF	DE	en-es
THE	LOS	en-es
BELGIANS,	BELGAS,	en-es
HER	SU	en-es
MAJESTY	MAJESTAD	en-es
THE	LA	en-es
QUEEN	REINA	en-es
OF	DE	en-es
DENMARK,	DINAMARCA,	en-es
THE	EL	en-es
PRESIDENT	PRESIDENTE	en-es
OF	DE	en-es
THE	LA	en-es
	REPÚBLICA	en-es
FEDERAL	FEDERAL	en-es
REPUBLIC		en-es
OF	DE	en-es
GERMANY,	ALEMANIA,	en-es
THE	EL	en-es
PRESIDENT	PRESIDENTE	en-es
OF	DE	en-es
IRELAND,	IRLANDA,	en-es
THE	EL	en-es
PRESIDENT	PRESIDENTE	en-es
OF	DE	en-es
THE	LA	en-es
HELLENIC	REPÚBLICA	en-es
REPUBLIC,	HELÉNICA,	en-es
HIS	SU	en-es
MAJESTY	MAJESTAD	en-es
THE	EL	en-es
KING	REY	en-es
OF	DE	en-es
SPAIN,	ESPANA,	en-es
THE	EL	en-es
PRESIDENT	PRESIDENTE	en-es
OF	DE	en-es
THE	LA	en-es
FRENCH	REPÚBLICA	en-es
REPUBLIC,	FRANCESA,	en-es
THE	EL	en-es
PRESIDENT	PRESIDENTE	en-es
OF	DE	en-es
THE	LA	en-es
ITALIAN	REPÚBLICA	en-es
REPUBLIC,	ITALIANA,	en-es
HIS	SU	en-es
ROYAL	ALTEZA	en-es
HIGHNESS	REAL	en-es
THE	EL	en-es
GRAND	GRAN	en-es
DUKE	DUQUE	en-es
OF	DE	en-es
LUXEMBOURG,	LUXEMBURGO,	en-es
HER	SU	en-es
MAJESTY	MAJESTAD	en-es
THE	LA	en-es
QUEEN	REINA	en-es
OF	DE	en-es
THE	LOS	en-es
NETHERLANDS,	PAÍSES BAJOS,	en-es
THE	EL	en-es
PRESIDENT	PRESIDENTE	en-es
OF	DE	en-es
THE	LA	en-es
PORTUGUESE	REPÚBLICA	en-es
